caseid,untrustworthy_n_pre,untrustworthy_n_test,total_n_pre,total_n_test,untrustworthy_flag_pre,untrustworthy_flag_test,election_untrustworthy_n_pre,election_untrustworthy_n_test,election_untrustworthy_flag_pre,election_untrustworthy_flag_test,percentage_of_total_pre,percentage_of_total_test,college,trump_support,female,non_white,knowledge,interest,age4_30_44,age4_45_64,age4_65,age4_under_30,race4_black,race4_hispanic,race4_other,race4_white,educ4_college_grad,educ4_hs_or_less,educ4_postgrad,educ4_some_college,weight,won_election_trump,trump_support_pre
1221135087,0,0,7956,20224,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0,1,0,0,0,0,1,0,1,0,0,0,1.01802933941028,0,1
1221138629,1,24,24408,33618,1,1,0,5,0,1,4.0970173713536546e-5,7.139032661074424e-4,0,1,1,0,3,4,1,0,0,0,0,0,0,1,0,0,0,1,0.427699051605798,1,1
1221139991,0,0,157,400,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,1,2.92037915954642,0,1
1221141329,0,0,101,30,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,1,0,1,0,0,6.41164066878541,0,1
1221142005,0,0,9037,24478,0,0,0,0,0,0,0,0,1,0,0,1,4,4,0,1,0,0,1,0,0,0,1,0,0,0,0.52119094747771,0,0
1221180487,0,0,2091,2521,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,1,0,0,0,0,1,1,0,0,0,0.377107289279223,0,0
1221180599,1,0,5872,12173,1,0,0,0,0,0,1.7029972752043596e-4,0,0,0,0,0,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0.376286313070419,0,0
1221182911,0,0,513,1764,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,1,0,0,0,0,1,0,1,0,0,0.809513959189826,0,0
1221183645,1,1,926,3695,1,1,0,0,0,0,0.00107991360691144,2.7063599458728013e-4,0,0,1,0,4,4,0,0,1,0,0,0,0,1,0,0,0,1,0.313399425515412,0,0
1221183803,0,0,15080,20667,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0,1,0,0,0,1,0.343206470440525,0,0
1221236811,0,1,280,172,0,1,0,0,0,0,0,0.00581395348837209,0,0,1,1,3,3,0,0,1,0,1,0,0,0,0,1,0,0,4.73682178545465,0,0
1221288471,0,0,10,50,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,0,1,0,0,0,0,1,0,0,1,0,0.424979596579055,0,0
1221295583,1,1,4347,10088,1,1,0,0,0,0,2.300437083045779e-4,9.912767644726408e-5,0,1,0,1,2,4,0,1,0,0,0,1,0,0,0,0,0,1,1.42338608730685,1,1
1221296351,0,0,371,6754,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0.376286313070419,0,0
1221297547,0,0,2158,14876,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,1,0,0,0,0,0,1,0,1,0,0,2.74486621617414,0,1
1221337259,0,1,5027,14635,0,1,0,0,0,0,0,6.83293474547318e-5,1,0,0,0,4,4,0,1,0,0,0,0,0,1,0,0,1,0,0.349975590862391,0,0
1221337787,0,3,3262,3437,0,1,0,1,0,1,0,8.728542333430317e-4,0,0,1,0,3,3,0,1,0,0,0,0,0,1,0,0,0,1,0.782808834709207,0,0
1221337905,1,15,6890,28715,1,1,0,2,0,1,1.4513788098693758e-4,5.223750652968832e-4,0,0,0,0,4,4,0,1,0,0,0,0,0,1,0,0,0,1,0.282634479977616,0,0
1221338795,0,0,141,518,0,0,0,0,0,0,0,0,1,0,1,0,3,4,0,0,1,0,0,0,0,1,0,0,1,0,0.420635393356033,0,0
1221341823,0,0,402,394,0,0,0,0,0,0,0,0,0,1,1,0,3,4,0,1,0,0,0,0,0,1,0,0,0,1,0.453484366088073,0,1
1221342393,0,0,7219,19213,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,1,0,0,0,0,0,1,0,1,0,0,0.717401372221442,1,1
1221344125,0,1,5185,12753,0,1,0,1,0,1,0,7.84129224496197e-5,0,0,0,0,1,4,0,1,0,0,0,0,0,1,0,0,0,1,0.306351595169879,0,0
1221345219,0,2,5321,9006,0,1,0,1,0,1,0,2.220741727737064e-4,1,0,0,0,3,4,0,0,1,0,0,0,0,1,1,0,0,0,0.347033600823819,0,0
1221389741,0,0,1419,12545,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,0,0,1,1,0,0,0,1.10845282283295,0,0
1221390061,0,0,3764,595,0,0,0,0,0,0,0,0,1,0,0,1,4,4,0,1,0,0,0,0,1,0,0,0,1,0,0.445883949538207,0,0
1221390395,0,0,207,673,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,1,0,0,0,0,0,1,1,0,0,0,0.521971674027531,0,0
1221391085,0,0,47,65,0,0,0,0,0,0,0,0,1,1,0,0,4,4,0,0,1,0,0,0,0,1,1,0,0,0,0.525086182043661,1,1
1221391173,0,0,8730,20311,0,0,0,0,0,0,0,0,1,0,1,0,2,4,1,0,0,0,0,0,0,1,0,0,1,0,0.102586250700567,0,0
1221391371,3,23,21164,89147,1,1,0,0,0,0,1.4175014175014174e-4,2.580008300896272e-4,1,1,0,0,4,4,1,0,0,0,0,0,0,1,1,0,0,0,1.2151337456222,1,1
1221394191,1,1,17129,25524,1,1,0,0,0,0,5.838052425710783e-5,3.9178812098417176e-5,1,0,1,0,3,4,1,0,0,0,0,0,0,1,0,0,1,0,0.524069041997526,0,0
1221398585,0,0,14030,42325,0,0,0,0,0,0,0,0,1,0,0,0,4,4,1,0,0,0,0,0,0,1,0,0,1,0,0.584065793806685,0,0
1221399501,0,0,4489,5968,0,0,0,0,0,0,0,0,1,0,0,1,4,4,0,0,0,1,0,0,1,0,1,0,0,0,0.822905593103362,0,0
1221399509,0,0,18291,53190,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,1,0,0,0,0,0,1,0,0,0,1,0.233968220701252,0,0
1221399905,0,0,920,5074,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,0,0,1,0,0,1,0,0,0,1,0,4.53152646956606,0,0
1221400137,0,0,35,2,0,0,0,0,0,0,0,0,1,1,1,0,2,3,0,0,1,0,0,0,0,1,0,0,1,0,0.383181288715126,0,1
1221400551,0,2,4828,9682,0,1,0,0,0,0,0,2.065688907250568e-4,0,0,1,0,2,4,0,1,0,0,0,0,0,1,0,0,0,1,0.253601533813438,0,0
1221425553,0,0,16005,40876,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,0,0,0,0,1,0,1,0,0,3.58419024251824,0,0
1221443657,0,6,862,2530,0,1,0,0,0,0,0,0.00237154150197628,1,1,0,1,3,3,1,0,0,0,0,0,1,0,0,0,1,0,0.89423126716726,1,1
1221443673,0,0,914,3759,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,0,1,0,0,0,0,1,1,0,0,0,0.377107289279223,0,0
1221444131,0,0,3734,8515,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,2.95228418550492,1,1
1221445185,9,16,1799,5210,1,1,0,0,0,0,0.00500277932184546,0.00307101727447216,1,1,0,0,4,4,0,1,0,0,0,0,0,1,1,0,0,0,0.521971674027531,0,1
1221447899,0,0,4686,14143,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,1,0,0,0,0,0,1,0,0,0,1,0.298085572355588,0,0
1221448045,0,0,44,155,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,1,0,0,0,0,0,1,1,0,0,0,0.336612009303302,0,0
1221453145,5,5,7636,13188,1,1,2,2,2,1,6.547930853850184e-4,3.7913254473764026e-4,1,0,0,0,4,4,0,1,0,0,0,0,0,1,0,0,1,0,0.349975590862391,0,0
1221453363,0,0,410,2557,0,0,0,0,0,0,0,0,1,0,1,1,1,3,0,1,0,0,0,0,1,0,1,0,0,0,0.860132145242213,0,0
1221453365,0,0,6922,16451,0,0,0,0,0,0,0,0,1,0,1,0,4,4,0,1,0,0,0,0,0,1,0,0,1,0,0.28971400194848,0,0
1221453387,0,50,3060,10568,0,1,0,3,0,1,0,0.00473126419379258,0,1,0,0,4,4,0,1,0,0,0,0,0,1,0,0,0,1,0.400048201733562,1,1
1221453397,3,9,17067,23660,1,1,0,5,0,1,1.7577781683951485e-4,3.803888419273035e-4,1,0,0,0,4,4,0,0,0,1,0,0,0,1,1,0,0,0,0.700101380102092,0,0
1221454049,0,0,1543,3869,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,1,0,1,0,0,2.58182784944405,0,0
1221470735,0,0,31020,100691,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,0,0,0,0,0,0,1,0,0,1,0,0.565562337066035,0,0
